age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
47,services,married,secondary,no,311,yes,yes,cellular,12,may,1,301,3,failure,no
24,management,single,tertiary,no,1506,no,no,cellular,12,jun,2,95,4,success,yes
52,blue-collar,married,primary,no,1624,no,no,unknown,20,jun,3,-1,0,unknown,no
58,technician,single,secondary,no,382,no,no,cellular,13,aug,2,-1,0,unknown,no
32,self-employed,single,tertiary,no,1249,yes,no,cellular,19,nov,1,-1,0,unknown,yes
30,admin.,married,tertiary,no,26,yes,no,cellular,16,apr,1,323,1,failure,no
38,technician,married,secondary,no,185,no,yes,cellular,29,aug,16,-1,0,unknown,no
48,services,divorced,secondary,no,-276,yes,yes,cellular,13,may,1,-1,0,unknown,yes
30,student,single,tertiary,no,228,yes,no,cellular,13,may,2,-1,0,unknown,yes
38,management,married,tertiary,no,4293,yes,no,cellular,6,may,2,250,2,failure,no
39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,may,4,371,1,failure,yes
41,blue-collar,married,primary,no,4,no,no,cellular,23,jul,5,-1,0,unknown,no
24,technician,single,secondary,no,135,yes,yes,cellular,18,may,1,-1,0,unknown,no
32,management,single,tertiary,no,111,yes,no,unknown,8,may,2,-1,0,unknown,no
33,technician,married,tertiary,no,5641,no,no,cellular,18,aug,2,-1,0,unknown,no
45,management,single,tertiary,no,4831,no,no,cellular,30,jul,3,182,11,success,yes
47,technician,married,secondary,no,293,no,no,cellular,3,mar,1,-1,0,unknown,yes
28,management,single,tertiary,no,730,yes,no,cellular,3,mar,1,-1,0,unknown,yes
54,management,married,tertiary,no,8295,no,no,cellular,5,jun,1,-1,0,unknown,yes
26,services,married,secondary,no,54,yes,no,unknown,13,may,1,-1,0,unknown,no
37,admin.,single,tertiary,no,3954,yes,no,cellular,12,aug,1,117,2,failure,no
30,management,married,tertiary,no,5381,no,no,cellular,17,nov,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,1,-1,0,unknown,yes
57,blue-collar,married,secondary,no,2058,yes,no,telephone,18,may,2,-1,0,unknown,no
41,entrepreneur,married,primary,no,0,no,no,cellular,3,jul,2,389,1,other,yes
28,admin.,single,secondary,no,261,yes,yes,cellular,9,sep,2,98,4,success,yes
41,management,married,tertiary,no,298,no,no,cellular,4,may,3,272,1,other,no
37,management,single,tertiary,no,0,no,no,cellular,20,oct,1,258,3,other,no
38,management,married,tertiary,yes,327,yes,yes,cellular,9,jul,5,-1,0,unknown,yes
45,management,single,tertiary,no,997,no,yes,cellular,19,nov,1,-1,0,unknown,no
63,management,married,tertiary,no,2785,no,no,cellular,2,aug,2,392,3,success,yes
33,management,single,tertiary,no,4128,yes,no,unknown,12,may,6,-1,0,unknown,no
42,technician,married,tertiary,no,446,no,no,cellular,6,aug,3,-1,0,unknown,no
49,technician,married,secondary,no,12531,no,no,cellular,13,aug,8,-1,0,unknown,no
36,admin.,single,secondary,no,8785,yes,no,cellular,20,nov,2,-1,0,unknown,no
30,blue-collar,single,primary,no,253,yes,no,cellular,5,may,1,-1,0,unknown,yes
44,services,divorced,secondary,no,608,yes,yes,unknown,18,jun,30,-1,0,unknown,no
26,management,single,tertiary,no,7628,no,no,cellular,1,apr,1,-1,0,unknown,no
71,retired,married,tertiary,no,4388,no,no,cellular,8,jul,2,-1,0,unknown,yes
60,technician,married,secondary,no,10925,no,no,cellular,23,oct,3,185,1,success,yes
60,technician,divorced,tertiary,no,1900,yes,no,unknown,29,may,3,-1,0,unknown,no
35,blue-collar,married,primary,no,159,yes,yes,cellular,12,may,1,-1,0,unknown,yes
57,management,married,tertiary,no,473,no,no,cellular,1,jun,1,-1,0,unknown,yes
40,technician,married,secondary,no,2266,no,no,cellular,26,may,3,89,7,other,yes
52,services,married,secondary,no,1000,no,no,cellular,5,aug,2,-1,0,unknown,yes
45,entrepreneur,married,primary,no,488,yes,no,telephone,28,jul,11,-1,0,unknown,no
51,admin.,single,secondary,no,895,no,no,cellular,23,jul,2,-1,0,unknown,yes
33,services,single,tertiary,no,-452,no,no,cellular,29,jan,2,-1,0,unknown,yes
38,management,married,tertiary,no,1354,yes,no,cellular,29,jan,2,-1,0,unknown,no
52,technician,married,tertiary,no,7,no,yes,unknown,5,may,1,-1,0,unknown,no
42,services,married,secondary,no,1376,yes,no,cellular,2,jun,2,92,4,success,yes
42,technician,divorced,secondary,no,214,no,no,cellular,16,apr,1,-1,0,unknown,yes
57,retired,married,secondary,no,5313,no,no,cellular,3,jun,1,-1,0,unknown,yes
50,admin.,divorced,secondary,no,797,yes,no,telephone,25,jul,8,-1,0,unknown,no
51,blue-collar,married,secondary,no,568,yes,no,unknown,4,jun,1,-1,0,unknown,no
31,technician,married,tertiary,no,636,yes,no,cellular,4,may,4,-1,0,unknown,yes
33,management,married,tertiary,no,968,no,yes,cellular,28,aug,10,-1,0,unknown,no
40,blue-collar,married,primary,no,13,yes,no,unknown,4,jul,1,-1,0,unknown,no
37,admin.,married,secondary,no,641,yes,no,unknown,5,jun,1,-1,0,unknown,no
48,entrepreneur,married,secondary,no,0,no,yes,cellular,28,jul,2,-1,0,unknown,yes
51,management,married,tertiary,no,346,no,no,cellular,11,aug,1,180,6,success,yes
29,blue-collar,married,secondary,no,975,yes,no,unknown,27,may,2,-1,0,unknown,no
34,admin.,single,secondary,no,63,yes,no,cellular,17,apr,1,-1,0,unknown,yes
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,1,-1,0,unknown,no
48,blue-collar,married,primary,no,783,no,yes,cellular,6,aug,2,-1,0,unknown,no
35,technician,single,secondary,no,1693,yes,no,cellular,10,feb,1,-1,0,unknown,yes
82,retired,married,secondary,no,121,no,no,telephone,19,feb,1,-1,0,unknown,yes
46,blue-collar,married,secondary,no,668,yes,no,unknown,15,may,2,-1,0,unknown,yes
31,blue-collar,married,secondary,no,64,yes,no,cellular,18,jul,3,-1,0,unknown,no
29,management,single,tertiary,no,54,yes,yes,unknown,26,may,3,-1,0,unknown,no
32,technician,single,secondary,no,28,yes,no,cellular,18,nov,1,-1,0,unknown,no
28,self-employed,married,tertiary,no,0,yes,no,cellular,4,feb,3,196,4,failure,yes
29,student,single,secondary,no,459,no,no,cellular,15,dec,3,189,19,other,yes
26,management,single,tertiary,no,47,yes,no,cellular,18,may,1,-1,0,unknown,no
31,technician,married,secondary,no,1173,yes,no,cellular,14,jul,3,-1,0,unknown,yes
27,admin.,single,tertiary,no,832,no,no,cellular,21,apr,1,-1,0,unknown,no
33,management,married,secondary,no,369,no,no,cellular,11,feb,1,-1,0,unknown,yes
33,blue-collar,married,tertiary,no,6138,yes,no,unknown,20,may,1,-1,0,unknown,no
56,retired,married,secondary,no,74,yes,no,unknown,26,may,2,-1,0,unknown,no
77,retired,married,primary,no,2590,no,no,telephone,15,feb,5,94,15,success,no
24,blue-collar,single,secondary,no,833,yes,no,cellular,15,may,1,-1,0,unknown,yes
36,admin.,married,secondary,no,96,no,no,cellular,2,feb,1,-1,0,unknown,yes
40,services,divorced,secondary,no,694,yes,no,cellular,31,jul,14,-1,0,unknown,no
42,entrepreneur,married,primary,no,558,yes,no,cellular,6,may,2,-1,0,unknown,no
34,management,married,tertiary,no,606,no,no,cellular,20,apr,1,-1,0,unknown,yes
34,management,married,tertiary,no,557,yes,no,cellular,16,jul,1,-1,0,unknown,no
58,management,divorced,tertiary,no,372,no,yes,unknown,29,oct,1,-1,0,unknown,yes
51,blue-collar,married,secondary,no,50,yes,yes,unknown,6,may,1,-1,0,unknown,no
30,admin.,single,secondary,no,4448,no,no,cellular,11,feb,8,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1,-1,0,unknown,yes
57,housemaid,married,primary,no,625,no,yes,unknown,11,jun,1,-1,0,unknown,yes
42,admin.,married,secondary,no,105,no,no,unknown,11,jun,4,-1,0,unknown,yes
59,retired,married,primary,no,-47,yes,no,cellular,27,aug,4,-1,0,unknown,no
27,blue-collar,single,primary,no,232,yes,no,cellular,26,oct,2,-1,0,unknown,yes
29,blue-collar,married,secondary,no,100,yes,yes,cellular,6,may,4,344,2,failure,no
49,blue-collar,married,primary,no,247,no,yes,cellular,22,jul,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,1568,yes,no,cellular,2,jun,1,55,6,other,yes
28,management,single,tertiary,no,3611,no,no,cellular,26,feb,2,-1,0,unknown,yes
26,self-employed,single,tertiary,no,2857,no,no,cellular,3,jul,1,-1,0,unknown,yes
